name,mfr,type,calories,sugars,rating
100% Bran,Nabisco,Cold,70,6,68.402973
100% Natural Bran,Quaker Oats,Cold,120,8,33.983679
All-Bran,Kellogg's,Cold,70,5,59.425505
All-Bran with Extra Fiber,Kellogg's,Cold,50,0,93.704912
Almond Delight,Ralston Purina,Cold,110,8,34.384843
Apple Cinnamon Cheerios,General Mills,Cold,110,10,29.509541
Apple Jacks,Kellogg's,Cold,110,14,33.174094
Basic 4,General Mills,Cold,130,8,37.038562
Bran Chex,Ralston Purina,Cold,90,6,49.120253
Bran Flakes,Post,Cold,90,5,53.313813
Cap'n'Crunch,Quaker Oats,Cold,120,12,18.042851
Cheerios,General Mills,Cold,110,1,50.764999
Cinnamon Toast Crunch,General Mills,Cold,120,9,19.823573
Clusters,General Mills,Cold,110,7,40.400208
Cocoa Puffs,General Mills,Cold,110,13,22.736446
Corn Chex,Ralston Purina,Cold,110,3,41.445019
Corn Flakes,Kellogg's,Cold,100,2,45.863324
Corn Pops,Kellogg's,Cold,110,12,35.782791
Count Chocula,General Mills,Cold,110,13,22.396513
Cracklin' Oat Bran,Kellogg's,Cold,110,7,40.448772
Cream of Wheat (Quick),Nabisco,Hot,100,0,64.533816
Crispix,Kellogg's,Cold,110,3,46.895644
Crispy Wheat & Raisins,General Mills,Cold,100,10,36.176196
Double Chex,Ralston Purina,Cold,100,5,44.330856
Froot Loops,Kellogg's,Cold,110,13,32.207582
Frosted Flakes,Kellogg's,Cold,110,11,31.435973
Frosted Mini-Wheats,Kellogg's,Cold,100,7,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,Post,Cold,120,10,40.917047
Fruitful Bran,Kellogg's,Cold,120,12,41.015492
Fruity Pebbles,Post,Cold,110,12,28.025765
Golden Crisp,Post,Cold,100,15,35.252444
Golden Grahams,General Mills,Cold,110,9,23.804043
Grape Nuts Flakes,Post,Cold,100,5,52.076897
Grape-Nuts,Post,Cold,110,3,53.371007
Great Grains Pecan,Post,Cold,120,4,45.811716
Honey Graham Ohs,Quaker Oats,Cold,120,11,21.871292
Honey Nut Cheerios,General Mills,Cold,110,10,31.072217
Honey-comb,Post,Cold,110,11,28.742414
Just Right Crunchy  Nuggets,Kellogg's,Cold,110,6,36.523683
Just Right Fruit & Nut,Kellogg's,Cold,140,9,36.471512
Kix,General Mills,Cold,110,3,39.241114
Life,Quaker Oats,Cold,100,6,45.328074
Lucky Charms,General Mills,Cold,110,12,26.734515
Maypo,Maltex,Hot,100,3,54.850917
Muesli Raisins; Dates; & Almonds,Ralston Purina,Cold,150,11,37.136863
Muesli Raisins; Peaches; & Pecans,Ralston Purina,Cold,150,11,34.139765
Mueslix Crispy Blend,Kellogg's,Cold,160,13,30.313351
Multi-Grain Cheerios,General Mills,Cold,100,6,40.105965
Nut&Honey Crunch,Kellogg's,Cold,120,9,29.924285
Nutri-Grain Almond-Raisin,Kellogg's,Cold,140,7,40.69232
Nutri-grain Wheat,Kellogg's,Cold,90,2,59.642837
Oatmeal Raisin Crisp,General Mills,Cold,130,10,30.450843
Post Nat. Raisin Bran,Post,Cold,120,14,37.840594
Product 19,Kellogg's,Cold,100,3,41.50354
Puffed Rice,Quaker Oats,Cold,50,0,60.756112
Puffed Wheat,Quaker Oats,Cold,50,0,63.005645
Quaker Oat Squares,Quaker Oats,Cold,100,6,49.511874
Quaker Oatmeal,Quaker Oats,Hot,100,1,50.828392
Raisin Bran,Kellogg's,Cold,120,12,39.259197
Raisin Nut Bran,General Mills,Cold,100,8,39.7034
Raisin Squares,Kellogg's,Cold,90,6,55.333142
Rice Chex,Ralston Purina,Cold,110,2,41.998933
Rice Krispies,Kellogg's,Cold,110,3,40.560159
Shredded Wheat,Nabisco,Cold,80,0,68.235885
Shredded Wheat 'n'Bran,Nabisco,Cold,90,0,74.472949
Shredded Wheat spoon size,Nabisco,Cold,90,0,72.801787
Smacks,Kellogg's,Cold,110,15,31.230054
Special K,Kellogg's,Cold,110,3,53.131324
Strawberry Fruit Wheats,Nabisco,Cold,90,5,59.363993
Total Corn Flakes,General Mills,Cold,110,3,38.839746
Total Raisin Bran,General Mills,Cold,140,14,28.592785
Total Whole Grain,General Mills,Cold,100,3,46.658844
Triples,General Mills,Cold,110,3,39.106174
Trix,General Mills,Cold,110,12,27.753301
Wheat Chex,Ralston Purina,Cold,100,3,49.787445
Wheaties,General Mills,Cold,100,3,51.592193
Wheaties Honey Gold,General Mills,Cold,110,8,36.187559
