state,emp_length,term,homeownership,annual_income,verified_income,debt_to_income,total_credit_limit,total_credit_utilized,num_cc_carrying_balance,loan_purpose,loan_amount,grade,interest_rate,public_record_bankrupt,loan_status
NJ,3,60,MORTGAGE,90000,Verified,18.01,70795,38767,6,moving,28000,C,14.07,0,Current
HI,10,36,RENT,40000,Not Verified,5.04,28800,4321,4,debt_consolidation,5000,C,12.61,1,Current
WI,3,36,RENT,40000,Source Verified,21.15,24193,16000,6,other,2000,D,17.09,0,Current
PA,1,36,RENT,30000,Not Verified,10.16,25400,4997,2,debt_consolidation,21600,A,6.72,0,Current
CA,10,36,RENT,35000,Verified,57.96,69839,52722,13,credit_card,23000,C,14.07,0,Current
MI,10,60,MORTGAGE,35000,Source Verified,23.66,291852,18916,6,credit_card,24000,C,13.59,0,Current
AZ,10,60,MORTGAGE,110000,Source Verified,16.19,342336,60805,10,debt_consolidation,20000,B,11.99,0,Current
NV,10,36,MORTGAGE,65000,Source Verified,36.48,283190,69561,14,home_improvement,20000,C,13.59,0,Current
IL,3,36,RENT,30000,Not Verified,18.91,33114,17768,3,credit_card,6400,A,6.71,0,Current
IL,10,60,MORTGAGE,75000,Verified,10.45,39433,22895,5,debt_consolidation,25000,C,15.04,1,Current
FL,2,60,MORTGAGE,91900,Source Verified,1.82,450371,55939,3,other,40000,B,9.92,0,Current
SC,5,36,MORTGAGE,122000,Source Verified,12.06,263800,43686,5,debt_consolidation,16000,C,13.59,0,Current
CO,10,60,MORTGAGE,88000,Source Verified,3.67,259915,14387,6,credit_card,17000,B,9.43,0,Current
TN,10,60,MORTGAGE,60000,Not Verified,38.46,136815,75552,3,credit_card,20000,D,19.03,0,Current
NV,3,60,RENT,72000,Source Verified,20.33,58911,54947,2,debt_consolidation,30000,F,28.72,0,Current
IL,10,36,MORTGAGE,210000,Verified,9.53,322046,73705,2,medical,5000,E,26.77,0,Fully Paid
CA,1,60,MORTGAGE,83000,Source Verified,18.44,555154,39482,3,debt_consolidation,20000,C,15.05,0,Fully Paid
KY,10,36,MORTGAGE,50000,Not Verified,15.6,70313,18128,4,credit_card,7000,A,6.08,0,Current
NV,1,36,MORTGAGE,42000,Source Verified,32,272403,47575,5,credit_card,10000,B,11.98,1,Current
NJ,5,60,MORTGAGE,100000,Not Verified,26.53,566384,151251,6,debt_consolidation,21050,C,13.59,0,Current
VA,10,36,RENT,82000,Not Verified,17.31,65425,69177,5,credit_card,8000,A,7.96,0,Current
PA,7,60,MORTGAGE,55000,Source Verified,14.42,197985,17296,8,debt_consolidation,18000,C,12.61,0,Current
NY,1,36,RENT,55000,Source Verified,13.68,41891,26637,4,credit_card,10000,B,11.98,0,Current
IL,5,36,RENT,33000,Not Verified,19.38,43876,22920,3,debt_consolidation,3200,A,7.34,0,Current
GA,3,36,RENT,60000,Not Verified,11,56000,14338,2,debt_consolidation,10000,A,5.32,0,Current
MO,4,36,MORTGAGE,48000,Source Verified,2.88,147217,2489,1,house,6000,A,6.07,0,Current
